size,1,2,4,8,16
64,0.0523178,0.0439646,0.0451172,0.0435875,0.0690962
128,0.25731,0.242268,0.231221,0.2102,0.22739
256,1.70922,1.50655,1.37606,1.16012,1.14254
512,12.7566,8.95666,8.49142,7.69742,7.31294
1024,90.6881,69.8151,66.052,64.1077,62.3157
