104	7.2698
10	11.2949
112	7.03747
11	11.0795
120	6.96866
128	6.74469
12	10.5175
136	6.82526
13	10.054
144	6.72938
14	10.5095
152	6.7076
15	10.3852
160	6.73969
168	6.68058
16	10.2047
176	6.42392
17	9.84806
184	6.67015
18	9.3581
192	6.35634
19	9.90221
200	6.56613
208	6.53176
20	9.23897
216	6.60768
21	9.69928
224	6.51801
22	9.70463
232	6.221
23	9.38756
240	5.86242
248	6.59663
24	8.80358
256	6.18897
25	9.48771
26	9.48214
27	9.23309
28	9.05646
29	8.38943
2	4.36702
30	8.42595
31	8.5141
32	7.3434
33	8.71563
34	8.72396
35	8.65236
36	8.54836
37	8.52916
38	8.51279
39	8.49187
3	7.784
40	7.78362
41	8.31868
42	7.8347
43	8.30178
44	8.24424
45	8.32423
46	8.31033
47	8.22315
48	8.21834
49	8.23531
4	9.53961
50	8.1697
51	8.02814
52	7.78211
56	8.14034
57	7.79176
58	7.96677
59	7.85005
5	9.67986
60	7.93448
61	7.94755
62	7.59049
63	7.74949
64	6.60073
6	10.4086
72	7.47182
7	10.8894
80	7.32353
88	7.28154
8	11.1613
96	7.19465
9	10.9743
